mes_num,mes_nombre,periodo,venta_total,gop_total,gop_pct
1,Septiembre,Budget_26,16156148954,-1115534324.8997355,-0.06904704382683642
1,Septiembre,Real_25,15755230930,-258386400,-0.016400038891718104
1,Septiembre,Real_26,16549700947,-503961870,-0.03045141852495856
2,Octubre,Budget_26,17171866545,1837634917.1986804,0.10701427898842783
2,Octubre,Real_25,17207205183,2194502267,0.12753391638335762
2,Octubre,Real_26,17749855324,1931244365,0.10880338626696967
3,Noviembre,Budget_26,17544463988,2062169349.9088526,0.11753960402092237
3,Noviembre,Real_25,17648374799,1895324713,0.10739372517787835
3,Noviembre,Real_26,17887217460,2217841764,0.12399031704956977
4,Diciembre,Budget_26,18590464970,725018384.9726957,0.03899947559906006
4,Diciembre,Real_25,18475426664,1205274573,0.06523662997989209
4,Diciembre,Real_26,18567171865,931871742,0.050189212917052944
5,Enero,Budget_26,17610084563,889823390.7136755,0.05052919465152687
5,Enero,Real_25,17284765126,911595435,0.05273982193884513
5,Enero,Real_26,17610084563,889823390.7136755,0.05052919465152687
6,Febrero,Budget_26,17331466156,2309273750.283782,0.13324168477716075
6,Febrero,Real_25,15930716821,2501416985,0.15701848279059308
6,Febrero,Real_26,17331466156,2309273750.283782,0.13324168477716075
7,Marzo,Budget_26,19148721070,2379962947.249506,0.12428835004433568
7,Marzo,Real_25,16734632498,1622138721,0.09693303520073512
7,Marzo,Real_26,19148721070,2379962947.249506,0.12428835004433568
8,Abril,Budget_26,18608754517,2396695135.256982,0.12879395733161425
8,Abril,Real_25,16309709661,1790455547,0.10977850521038776
8,Abril,Real_26,18608754517,2396695135.256982,0.12879395733161425
9,Mayo,Budget_26,18621077038,1986441527.0398579,0.10667704789503475
9,Mayo,Real_25,15991005269,1476621721,0.09234076883600081
9,Mayo,Real_26,18621077038,1986441527.0398579,0.10667704789503475
10,Junio,Budget_26,18654043240,2072096774.7922268,0.11108030297415708
10,Junio,Real_25,15965012113,1566459147,0.09811825609104691
10,Junio,Real_26,18654043240,2072096774.7922268,0.11108030297415708
11,Julio,Budget_26,19107847530,2487216735.3061543,0.13016729024036514
11,Julio,Real_25,17255847604,2261725710,0.13107010225772506
11,Julio,Real_26,19107847530,2487216735.3061543,0.13016729024036514
12,Agosto,Budget_26,19723869402,2484969272.8215094,0.12598791962035266
12,Agosto,Real_25,17392016112,4012014780,0.23068140888116032
12,Agosto,Real_26,19723869402,2484969272.8215094,0.12598791962035266
